id_credito,id_cliente,fecha_desembolso,producto,canal,monto,plazo_meses,tasa_ea,estado,dias_mora
CRED00065,CLI0659,2021-12-14,Plus,Convenio Empresa,5300000.0,36,2.99,En mora,31
CRED00066,CLI0688,2023-05-22,Express,Digital,2400000.0,36,2.26,Al día,0
CRED00067,CLI0391,2023-03-22,Plus,Digital,4500000.0,18,2.69,Cancelado,0
CRED00068,CLI0538,2020-09-17,Express,Digital,3200000.0,24,2.58,Al día,0
CRED00069,CLI0327,2022-11-06,Plus,Digital,2900000.0,24,1.7,Cancelado,0
CRED00070,CLI0714,2020-07-29,Empresarial,Digital,8500000.0,24,2.56,Al día,0
CRED00071,CLI0427,2022-04-10,Plus,Digital,4300000.0,24,2.44,Al día,0
CRED00072,CLI0419,2020-08-07,Empresarial,Televentas,12800000.0,60,3.03,Al día,0
CRED00073,CLI0153,2021-10-29,Express,Convenio Empresa,1700000.0,36,3.0,Al día,0
CRED00074,CLI0308,2023-02-12,Express,Digital,2700000.0,48,1.76,Al día,0
CRED00075,CLI0386,2023-08-23,Plus,Convenio Empresa,3200000.0,12,1.64,Al día,0
CRED00076,CLI0189,2020-05-25,Plus,Digital,2700000.0,12,2.0,Al día,0
CRED00077,CLI0773,2021-09-10,Express,Digital,1800000.0,12,3.18,Al día,0
CRED00078,CLI0551,2022-12-27,Express,Televentas,1600000.0,18,1.54,Al día,0
CRED00079,CLI0485,2022-08-02,Express,Digital,,24,2.64,En mora,11
CRED00080,CLI0247,2022-03-31,Express,Digital,1600000.0,36,2.53,Al día,0
CRED00081,CLI0231,2023-04-24,Express,Televentas,1400000.0,24,2.6,Cancelado,0
CRED00082,CLI0308,2022-04-26,Plus,Sucursal,3900000.0,48,1.87,Al día,0
CRED00083,CLI0725,2021-05-03,Express,Convenio Empresa,1600000.0,48,1.89,Al día,0
CRED00084,CLI0148,2023-06-25,Express,Digital,1400000.0,18,2.23,Al día,0
CRED00085,CLI0475,2021-05-14,Plus,Referido,3700000.0,48,1.66,Al día,0
CRED00086,CLI0060,2023-01-27,Plus,Convenio Empresa,3500000.0,24,,Al día,0
CRED00087,CLI0576,2020-11-21,Empresarial,Televentas,12700000.0,24,1.65,Al día,0
CRED00088,CLI0423,2022-09-14,Plus,Convenio Empresa,4300000.0,36,2.47,Cancelado,0
CRED00089,CLI0427,2022-02-25,Express,Televentas,4000000.0,12,2.18,En mora,151
CRED00090,CLI0571,2020-05-15,Plus,Digital,,48,2.0,Al día,0
CRED00091,CLI0543,2021-11-28,Plus,Televentas,3300000.0,36,2.04,En mora,168
CRED00092,CLI0138,2021-03-02,Express,Televentas,4700000.0,48,1.85,Al día,0
CRED00093,CLI0398,2023-11-22,Plus,Televentas,4600000.0,60,2.2,Al día,0
CRED00094,CLI0249,2023-04-25,Empresarial,Televentas,13200000.0,24,1.85,Al día,0
CRED00095,CLI0262,2022-06-01,Express,Sucursal,2100000.0,12,2.69,En mora,49
CRED00096,CLI0209,2022-06-10,Express,Referido,2100000.0,18,1.71,En mora,50
CRED00097,CLI0339,2023-03-07,Express,Referido,2000000.0,18,3.11,En mora,115
CRED00098,CLI0663,2021-12-01,Express,Convenio Empresa,1000000.0,12,1.65,Al día,0
CRED00099,CLI0081,2023-01-20,Express,Sucursal,1900000.0,36,3.1,Al día,0
CRED00100,CLI0461,2023-11-22,Plus,Digital,2500000.0,18,2.92,En mora,26
CRED00101,CLI0380,2021-04-28,Express,Digital,1500000.0,60,2.66,Al día,0
CRED00102,CLI0095,2020-12-20,Empresarial,Televentas,7900000.0,36,3.05,Al día,0
CRED00103,CLI0549,2023-09-19,Plus,Referido,4500000.0,18,1.74,Al día,0
CRED00104,CLI0742,2023-10-03,Plus,Televentas,4500000.0,24,1.8,Al día,0
CRED00105,CLI0196,2020-06-08,Plus,Convenio Empresa,4700000.0,24,1.93,Al día,0
CRED00106,CLI0053,2023-12-28,Express,Digital,1800000.0,24,1.92,Al día,0
CRED00107,CLI0275,2023-03-21,Express,Digital,1300000.0,24,2.03,Al día,0
CRED00108,CLI0387,2022-09-23,Plus,Convenio Empresa,3600000.0,12,,Al día,0
CRED00109,CLI0690,2020-08-22,Plus,Digital,5500000.0,36,1.55,Al día,0
CRED00110,CLI0620,2023-04-27,Plus,Digital,5800000.0,24,2.15,Al día,0
CRED00111,CLI0618,2023-05-05,Express,Digital,1000000.0,36,1.92,Al día,0
CRED00112,CLI0041,2022-08-06,Empresarial,Digital,6200000.0,36,2.53,Al día,0
CRED00113,CLI0075,2021-10-28,Express,Convenio Empresa,1200000.0,18,3.17,Al día,0
CRED00114,CLI0193,2023-02-10,Empresarial,Digital,13400000.0,12,2.38,Al día,0
CRED00115,CLI0780,2020-07-18,Empresarial,Televentas,14100000.0,36,2.22,En mora,20
CRED00116,CLI0602,2022-06-30,Express,Digital,1100000.0,60,2.13,En mora,140
CRED00117,CLI0742,2020-12-26,Plus,Convenio Empresa,4400000.0,24,2.83,Al día,0
CRED00118,CLI0688,2021-09-22,Express,Digital,3400000.0,18,1.62,Al día,0
CRED00119,CLI0573,2022-04-11,Express,Televentas,1900000.0,18,3.13,Cancelado,0
CRED00120,CLI0223,2020-05-22,Plus,Convenio Empresa,6600000.0,18,2.21,Al día,0
CRED00121,CLI0491,2023-05-10,Plus,Digital,5700000.0,18,2.03,Al día,0
CRED00122,CLI0214,2020-08-10,Empresarial,Referido,7500000.0,24,3.16,Al día,0
CRED00123,CLI0341,2023-11-04,Plus,Televentas,3700000.0,36,3.09,Al día,0
CRED00124,CLI0311,2023-05-06,Express,Televentas,1600000.0,18,2.59,Al día,0
CRED00125,CLI0016,2022-02-15,Plus,Digital,4100000.0,12,1.53,Castigado,265
CRED00126,CLI0217,2021-11-01,Empresarial,Sucursal,12900000.0,24,2.77,Cancelado,0
CRED00127,CLI0195,2022-10-09,Express,Convenio Empresa,1900000.0,48,2.07,Al día,0
CRED00128,CLI0760,2023-08-13,Empresarial,Digital,4100000.0,24,2.16,Al día,0
CRED00129,CLI0121,2023-09-14,Express,Digital,1000000.0,60,1.77,Al día,0
CRED00130,CLI0765,2020-05-05,Plus,Convenio Empresa,1900000.0,24,2.39,Al día,0
CRED00131,CLI0773,2020-07-04,Express,Convenio Empresa,1700000.0,18,2.77,Al día,0
CRED00132,CLI0491,2021-03-21,Express,Convenio Empresa,1800000.0,18,1.96,Al día,0
CRED00133,CLI0249,2020-10-11,Express,Televentas,1800000.0,36,3.1,Al día,0
CRED00134,CLI0713,2023-04-04,Plus,Convenio Empresa,,24,1.83,Al día,0
CRED00135,CLI0619,2023-07-26,Express,Digital,2100000.0,36,1.61,Al día,0
CRED00136,CLI0721,2020-01-01,Express,Digital,2200000.0,36,,Cancelado,0
CRED00137,CLI0210,2020-10-27,Plus,Televentas,2600000.0,36,2.94,Al día,0
CRED00138,CLI0407,2023-09-15,Empresarial,Sucursal,6300000.0,12,3.12,Castigado,244
CRED00139,CLI0246,2020-11-01,Express,Digital,1600000.0,36,2.8,Al día,0
CRED00140,CLI0566,2022-07-16,Express,Televentas,3300000.0,24,1.84,Al día,0
CRED00141,CLI0330,2022-12-24,Express,Convenio Empresa,3200000.0,24,3.16,Al día,0
CRED00142,CLI0795,2021-08-19,Express,Televentas,2000000.0,24,3.06,Al día,0
CRED00143,CLI0290,2022-03-09,Plus,Referido,3100000.0,36,1.78,Al día,0
CRED00144,CLI0390,2023-06-14,Plus,Convenio Empresa,5400000.0,12,2.45,Cancelado,0
CRED00145,CLI0478,2023-03-29,Plus,Digital,3400000.0,24,2.44,Castigado,332
CRED00146,CLI0547,2022-07-04,Express,Sucursal,1200000.0,18,2.25,Al día,0
CRED00147,CLI0665,2021-02-04,Plus,Convenio Empresa,,24,3.17,Al día,0
CRED00148,CLI0368,2021-02-25,Plus,Referido,4100000.0,12,1.6,Al día,0
CRED00149,CLI0316,2023-10-27,Plus,Convenio Empresa,3200000.0,18,2.57,Al día,0
CRED00150,CLI0268,2021-10-10,Plus,Referido,4100000.0,18,1.85,Al día,0
CRED00151,CLI0369,2021-09-05,Plus,Digital,1800000.0,24,2.4,Al día,0
CRED00152,CLI0526,2023-03-13,Plus,Digital,4200000.0,48,2.83,Al día,0
CRED00153,CLI0510,2023-10-23,Express,Referido,600000.0,18,1.92,Al día,0
CRED00154,CLI0478,2021-09-15,Empresarial,Digital,13600000.0,24,2.17,Al día,0
CRED00155,CLI0101,2022-06-09,Plus,Digital,4800000.0,18,3.12,Al día,0
CRED00156,CLI0740,2021-12-06,Plus,Convenio Empresa,3600000.0,36,2.79,Al día,0
CRED00157,CLI0481,2020-07-01,Express,Referido,2000000.0,12,2.47,Castigado,193
CRED00158,CLI0780,2023-04-08,Plus,Digital,2800000.0,18,1.88,Al día,0
CRED00159,CLI0328,2020-01-17,Plus,Referido,4100000.0,18,2.22,Cancelado,0
CRED00160,CLI0209,2023-06-06,Express,Convenio Empresa,2200000.0,60,2.82,En mora,137
CRED00161,CLI0380,2022-11-11,Express,Televentas,500000.0,24,2.89,Cancelado,0
CRED00162,CLI0321,2022-04-07,Plus,Referido,3400000.0,12,1.92,En mora,40
CRED00163,CLI0424,2020-09-18,Plus,Televentas,4000000.0,18,2.63,Al día,0
CRED00164,CLI0047,2021-08-25,Plus,Digital,3700000.0,18,1.66,Cancelado,0
CRED00165,CLI0577,2020-05-07,Express,Digital,2900000.0,12,1.54,Al día,0
CRED00166,CLI0227,2022-01-26,Plus,Televentas,2700000.0,36,2.43,Al día,0
CRED00167,CLI0760,2023-01-29,Express,Televentas,1300000.0,24,1.88,Castigado,112
CRED00168,CLI0150,2020-04-18,Express,Convenio Empresa,800000.0,36,1.63,En mora,33
CRED00169,CLI0017,2020-01-02,Express,Convenio Empresa,3000000.0,18,2.74,Cancelado,0
CRED00170,CLI0268,2023-12-11,Express,Televentas,1500000.0,24,2.35,En mora,50
CRED00171,CLI0567,2023-02-20,Express,Convenio Empresa,1400000.0,18,2.85,Cancelado,0
CRED00172,CLI0599,2022-01-05,Express,Digital,1600000.0,18,2.63,En mora,108
CRED00173,CLI0594,2020-08-12,Express,Digital,2100000.0,36,2.74,En mora,141
CRED00174,CLI0738,2021-07-31,Express,Referido,1900000.0,18,2.02,Al día,0
CRED00175,CLI0428,2020-03-04,Plus,Digital,,36,1.95,Cancelado,0
CRED00176,CLI0303,2021-04-26,Express,Digital,1900000.0,48,2.52,En mora,65
CRED00177,CLI0157,2022-06-03,Express,Convenio Empresa,1300000.0,12,1.84,En mora,144
CRED00178,CLI0201,2023-12-09,Plus,Televentas,3300000.0,48,2.89,Al día,0
CRED00179,CLI0338,2023-04-23,Express,Referido,1400000.0,12,2.39,Al día,0
CRED00180,CLI0236,2022-03-18,Plus,Digital,2400000.0,18,1.89,Al día,0
CRED00181,CLI0389,2023-07-04,Express,Digital,1600000.0,36,2.56,Cancelado,0
CRED00182,CLI0584,2021-10-13,Express,Digital,2200000.0,24,3.11,Al día,0
CRED00183,CLI0252,2023-12-28,Plus,Televentas,3200000.0,12,1.64,Al día,0
CRED00184,CLI0512,2022-02-22,Plus,Digital,3000000.0,36,1.69,Al día,0
CRED00185,CLI0564,2022-04-11,Empresarial,Televentas,15500000.0,60,2.93,En mora,89
CRED00186,CLI0671,2022-02-20,Plus,Referido,2400000.0,18,1.69,En mora,94
CRED00187,CLI0702,2022-06-10,Empresarial,Referido,5300000.0,48,1.57,En mora,115
CRED00188,CLI0346,2023-01-21,Express,Digital,1000000.0,24,2.09,Al día,0
CRED00189,CLI0264,2021-03-08,Express,Televentas,,48,2.29,Al día,0
CRED00190,CLI0782,2023-09-18,Express,Televentas,1900000.0,18,2.47,Al día,0
CRED00191,CLI0501,2020-12-21,Express,Sucursal,1400000.0,36,2.36,Al día,0
CRED00192,CLI0741,2022-08-30,Plus,Sucursal,3700000.0,12,3.05,En mora,162
CRED00193,CLI0658,2020-10-11,Plus,Digital,6000000.0,48,2.81,Al día,0
CRED00194,CLI0758,2021-01-20,Express,Convenio Empresa,1200000.0,36,3.17,Al día,0
CRED00195,CLI0503,2023-02-11,Empresarial,Digital,12400000.0,24,2.31,Al día,0
CRED00196,CLI0472,2022-02-26,Plus,Digital,6800000.0,18,1.64,Al día,0
CRED00197,CLI0173,2022-01-07,Express,Digital,1400000.0,36,3.12,Cancelado,0
CRED00198,CLI0751,2022-05-04,Express,Televentas,2200000.0,36,1.51,Al día,0
CRED00199,CLI0361,2020-11-11,Express,Televentas,1500000.0,24,2.82,En mora,31
CRED00200,CLI0174,2021-08-13,Express,Digital,2300000.0,24,1.55,Al día,0
CRED00201,CLI0144,2023-10-04,Express,Convenio Empresa,900000.0,48,2.79,Al día,0
CRED00202,CLI0738,2020-09-14,Plus,Digital,2200000.0,18,3.09,Al día,0
CRED00203,CLI0560,2020-10-02,Express,Televentas,1400000.0,12,2.16,Al día,0
CRED00204,CLI0501,2020-01-24,Express,Digital,1100000.0,48,1.91,En mora,112
CRED00205,CLI0189,2020-05-26,Empresarial,Digital,8400000.0,24,1.88,Al día,0
CRED00206,CLI0556,2023-08-20,Plus,Televentas,3700000.0,18,2.34,Al día,0
CRED00207,CLI0658,2020-02-02,Empresarial,Digital,12200000.0,18,1.79,Al día,0
CRED00208,CLI0061,2020-10-21,Express,Televentas,1400000.0,48,2.64,Al día,0
CRED00209,CLI0537,2022-09-23,Express,Digital,1200000.0,18,2.13,En mora,18
CRED00210,CLI0035,2023-09-09,Plus,Televentas,3500000.0,36,2.05,Al día,0
CRED00211,CLI0077,2022-06-13,Express,Digital,1200000.0,48,2.28,Al día,0
CRED00212,CLI0685,2020-10-05,Express,Convenio Empresa,1100000.0,12,2.42,En mora,124
CRED00213,CLI0050,2020-06-22,Plus,Convenio Empresa,2300000.0,48,1.74,Al día,0
CRED00214,CLI0783,2020-10-08,Plus,Digital,4100000.0,24,2.7,Al día,0
CRED00215,CLI0007,2023-08-08,Express,Televentas,1300000.0,36,3.0,Al día,0
CRED00216,CLI0423,2022-05-01,Express,Digital,2400000.0,24,1.97,Al día,0
CRED00217,CLI0141,2022-07-22,Express,Televentas,900000.0,36,1.81,En mora,108
CRED00218,CLI0646,2023-11-25,Express,Digital,1300000.0,18,2.79,Al día,0
CRED00219,CLI0237,2023-05-22,Express,Televentas,3400000.0,12,1.81,Cancelado,0
CRED00220,CLI0070,2022-05-21,Express,Televentas,1100000.0,60,1.57,Al día,0
CRED00221,CLI0725,2023-06-30,Express,Referido,1500000.0,12,2.55,Cancelado,0
CRED00222,CLI0155,2021-01-03,Empresarial,Televentas,6800000.0,48,1.91,Al día,0
CRED00223,CLI0010,2022-07-19,Plus,Televentas,2500000.0,18,1.79,Al día,0
CRED00224,CLI0224,2022-11-09,Plus,Televentas,6900000.0,24,3.17,Al día,0
CRED00225,CLI0518,2022-05-18,Express,Sucursal,1700000.0,48,2.0,Al día,0
CRED00226,CLI0467,2023-02-04,Express,Convenio Empresa,1700000.0,18,3.04,En mora,135
CRED00227,CLI0383,2022-07-10,Express,Digital,800000.0,48,1.8,En mora,129
CRED00228,CLI0062,2022-02-26,Express,Referido,1900000.0,24,2.89,Al día,0
CRED00229,CLI0633,2021-12-28,Express,Televentas,2600000.0,24,2.35,Al día,0
CRED00230,CLI0654,2021-04-07,Plus,Convenio Empresa,6000000.0,36,1.63,Al día,0
CRED00231,CLI0683,2021-01-15,Plus,Convenio Empresa,5000000.0,18,2.75,Castigado,101
CRED00232,CLI0632,2022-05-19,Plus,Digital,2700000.0,18,3.02,Cancelado,0
CRED00233,CLI0495,2023-05-23,Express,Convenio Empresa,1800000.0,36,1.78,Al día,0
CRED00234,CLI0676,2020-01-16,Empresarial,Digital,12000000.0,18,2.73,Cancelado,0
CRED00235,CLI0500,2023-03-29,Express,Digital,800000.0,18,,Cancelado,0
CRED00236,CLI0017,2022-10-17,Express,Digital,1000000.0,36,2.78,Al día,0
CRED00237,CLI0007,2021-04-29,Express,Convenio Empresa,2300000.0,36,2.71,En mora,43
CRED00238,CLI0545,2023-12-29,Plus,Digital,5400000.0,24,1.55,Al día,0
CRED00239,CLI0565,2022-10-24,Empresarial,Digital,6200000.0,24,1.8,Al día,0
CRED00240,CLI0422,2021-07-05,Express,Convenio Empresa,2200000.0,36,,Al día,0
CRED00241,CLI0013,2022-04-21,Empresarial,Digital,10100000.0,24,3.09,Al día,0
CRED00242,CLI0018,2023-01-23,Plus,Digital,,24,2.08,Al día,0
CRED00243,CLI0543,2023-03-26,Express,Digital,,60,2.57,Al día,0
CRED00244,CLI0740,2022-01-21,Express,Digital,2100000.0,12,1.52,En mora,154
CRED00245,CLI0282,2020-03-09,Express,Televentas,2300000.0,24,2.71,Al día,0
CRED00246,CLI0549,2020-03-18,Empresarial,Digital,,48,2.53,Al día,0
CRED00247,CLI0294,2023-03-09,Express,Sucursal,1600000.0,36,2.72,Cancelado,0
CRED00248,CLI0018,2022-09-16,Plus,Convenio Empresa,3200000.0,48,3.04,Al día,0
CRED00249,CLI0515,2023-12-14,Express,Digital,3100000.0,18,1.75,Al día,0
CRED00250,CLI0715,2022-01-24,Plus,Digital,3800000.0,18,1.94,Cancelado,0
CRED00251,CLI0691,2020-08-19,Express,Televentas,1100000.0,48,3.19,Cancelado,0
CRED00252,CLI0441,2023-04-03,Plus,Televentas,3100000.0,24,1.77,Al día,0
CRED00253,CLI0184,2022-09-13,Plus,Digital,4200000.0,36,2.73,Al día,0
CRED00254,CLI0110,2023-11-15,Plus,Digital,5200000.0,12,2.73,Castigado,230
CRED00255,CLI0099,2020-06-12,Empresarial,Referido,6600000.0,36,2.66,Al día,0
CRED00256,CLI0537,2020-10-17,Express,Digital,3400000.0,24,1.89,Al día,0
CRED00257,CLI0153,2022-12-14,Plus,Digital,4400000.0,18,1.87,Al día,0
CRED00258,CLI0247,2021-07-26,Express,Referido,2000000.0,24,2.63,Al día,0
CRED00259,CLI0197,2022-08-10,Express,Convenio Empresa,1600000.0,36,1.82,En mora,179
CRED00260,CLI0635,2022-11-24,Plus,Digital,4000000.0,12,2.62,En mora,34
CRED00261,CLI0540,2020-06-09,Express,Convenio Empresa,1500000.0,36,2.34,Cancelado,0
CRED00262,CLI0259,2022-12-07,Plus,Digital,5700000.0,24,2.16,En mora,75
CRED00263,CLI0363,2023-06-03,Empresarial,Convenio Empresa,9800000.0,18,2.01,Al día,0
CRED00264,CLI0274,2020-06-30,Express,Televentas,2200000.0,36,3.11,Al día,0
CRED00265,CLI0407,2021-05-17,Plus,Convenio Empresa,3400000.0,18,2.36,Castigado,113
CRED00266,CLI0081,2022-08-25,Express,Sucursal,1800000.0,18,2.45,Al día,0
CRED00267,CLI0383,2023-07-15,Express,Referido,1200000.0,24,3.11,Al día,0
CRED00268,CLI0416,2023-09-21,Express,Referido,2600000.0,36,2.61,Cancelado,0
CRED00269,CLI0471,2023-10-01,Empresarial,Televentas,7600000.0,48,3.13,Al día,0
CRED00270,CLI0579,2020-06-08,Empresarial,Digital,8900000.0,12,1.68,Al día,0
CRED00271,CLI0250,2023-11-01,Empresarial,Televentas,8900000.0,24,2.94,Cancelado,0
CRED00272,CLI0714,2023-07-21,Empresarial,Convenio Empresa,8800000.0,12,2.07,Castigado,121
CRED00273,CLI0232,2023-01-09,Express,Referido,2200000.0,36,2.88,Al día,0
CRED00274,CLI0308,2023-04-02,Express,Digital,1400000.0,24,2.95,Cancelado,0
CRED00275,CLI0701,2021-10-01,Plus,Referido,6500000.0,36,1.96,Al día,0
CRED00276,CLI0083,2023-06-09,Express,Convenio Empresa,1200000.0,18,2.2,Al día,0
CRED00277,CLI0670,2020-04-18,Express,Sucursal,,48,2.73,Cancelado,0
CRED00278,CLI0666,2021-12-04,Express,Referido,1200000.0,24,1.67,Castigado,187
CRED00279,CLI0778,2022-12-31,Plus,Digital,4600000.0,60,2.78,Al día,0
CRED00280,CLI0033,2020-01-23,Plus,Digital,4000000.0,12,1.69,Al día,0
CRED00281,CLI0096,2022-08-18,Express,Digital,1500000.0,24,3.05,Al día,0
CRED00282,CLI0416,2022-07-18,Express,Digital,2600000.0,36,1.97,Al día,0
CRED00283,CLI0389,2022-11-15,Plus,Televentas,3200000.0,36,2.48,Al día,0
CRED00284,CLI0387,2022-08-18,Plus,Convenio Empresa,4900000.0,12,1.7,Al día,0
CRED00285,CLI0566,2023-03-21,Express,Referido,1200000.0,60,1.96,Al día,0
CRED00286,CLI0488,2021-11-09,Plus,Televentas,4200000.0,18,2.19,Al día,0
CRED00287,CLI0058,2022-05-12,Express,Digital,1000000.0,18,2.33,Al día,0
CRED00288,CLI0653,2021-12-23,Express,Digital,1200000.0,24,1.5,En mora,102
CRED00289,CLI0010,2021-08-26,Plus,Digital,3900000.0,24,3.01,Al día,0
CRED00290,CLI0720,2021-08-15,Plus,Digital,7500000.0,36,1.51,Al día,0
CRED00291,CLI0176,2020-12-09,Express,Televentas,1700000.0,24,2.82,Cancelado,0
CRED00292,CLI0085,2020-03-13,Plus,Digital,7100000.0,24,2.3,En mora,127
CRED00293,CLI0512,2023-11-24,Plus,Digital,4300000.0,24,,Al día,0
CRED00294,CLI0445,2023-05-08,Plus,Digital,3500000.0,24,1.85,Al día,0
CRED00295,CLI0661,2021-09-14,Plus,Televentas,6800000.0,48,2.53,En mora,176
CRED00296,CLI0340,2023-02-28,Plus,Televentas,4700000.0,48,2.41,Al día,0
CRED00297,CLI0580,2021-06-17,Express,Televentas,1300000.0,24,1.78,En mora,137
CRED00298,CLI0098,2020-05-05,Express,Televentas,2000000.0,12,1.9,Al día,0
CRED00299,CLI0541,2023-07-12,Express,Sucursal,1400000.0,48,1.61,Al día,0
CRED00300,CLI0044,2022-08-27,Express,Digital,700000.0,12,1.61,Al día,0
CRED00301,CLI0236,2023-03-30,Plus,Televentas,5500000.0,18,1.52,En mora,132
